userA	userB	score
jeansebastienkrollrabotin	isabellekrzywkowski	1
arramyleroux	cavetdominique	4
pbernard	laurentlopez	1
thomasletendre	claudeniatel	5
bernardteissier	vivienripoll	3
gabrielscherer	gregallaire	3
samuelauthueil	francistrautmann	2
hugol	mathieusaby	3
nicolasbarts	emmanueld	1
dissemin	nicolasquenouille	1
alaincimino	audreysteinberger	1
laurapallez	coret	2
juko	pascaltobaly	4
bossuet	celinefouga	1
alainberetzpresidentdeluniversitedestrasbourg	fontaine	1
celialentretien	clairesaulou	1
ernoult	romainboistel	5
stephaniedordcrousle	mathieusaby	1
griddock	violainev	2
nicolaspetitdemange	francoisducrocq	3
sylvainschmitz	juko	2
fredericmandon	nicolasbarts	2
pierrickgaudry	virgileprevosto	2
nehemiestrupler	pbernard	2
veroniquecohoner	sevankazandjian	2
pascalearaujo	manueladournes	1
dissemin	bernieseek	4
guillaumeaupy	mihaelasighireanu	2
durandaline	francoisducrocq	5
jeanchristophebach	thomasblanchard	2
martinecoppet	dominiqueroux	1
colettecadiou	briot	2
emmanuelthome	mag	3
ernoult	barbarameazzi	3
pierrev	favreau	2
favreguillaume	geraldineniateldacos	3
nicolasdandrimont	hadrienvroylandt	2
leoducas	nicolaspetitdemange	1
gabrielscherer	chantalbarutau	1
